Fund Holdings as of,"29/May/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NOVN","NOVARTIS AG","Health Care","Equity","405’461’624.30","16.31","405’461’624.30","3’441’365.00","117.82","Switzerland","SIX Swiss Exchange","CHF"
"ROP","ROCHE PS PAR AG","Health Care","Equity","405’442’721.80","16.30","405’442’721.80","1’231’226.00","329.30","Switzerland","SIX Swiss Exchange","CHF"
"NESN","NESTLE SA","Consumer Staples","Equity","358’696’941.36","14.42","358’696’941.36","4’515’319.00","79.44","Switzerland","SIX Swiss Exchange","CHF"
"ABBN","ABB LTD","Industrials","Equity","231’329’294.70","9.30","231’329’294.70","2’766’435.00","83.62","Switzerland","SIX Swiss Exchange","CHF"
"UBSG","UBS GROUP AG","Financials","Equity","199’125’595.44","8.01","199’125’595.44","5’375’961.00","37.04","Switzerland","SIX Swiss Exchange","CHF"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Consumer Discretionary","Equity","159’125’250.30","6.40","159’125’250.30","942’127.00","168.90","Switzerland","SIX Swiss Exchange","CHF"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","149’787’883.00","6.02","149’787’883.00","268’919.00","557.00","Switzerland","SIX Swiss Exchange","CHF"
"HOLN","HOLCIM LTD AG","Materials","Equity","72’517’610.76","2.92","72’517’610.76","936’678.00","77.42","Switzerland","SIX Swiss Exchange","CHF"
"LONN","LONZA GROUP AG","Health Care","Equity","61’590’733.20","2.48","61’590’733.20","123’083.00","500.40","Switzerland","SIX Swiss Exchange","CHF"
"SREN","SWISS RE AG","Financials","Equity","61’536’267.10","2.47","61’536’267.10","522’823.00","117.70","Switzerland","SIX Swiss Exchange","CHF"
"ALC","ALCON AG","Health Care","Equity","45’629’961.50","1.83","45’629’961.50","875’815.00","52.10","Switzerland","SIX Swiss Exchange","CHF"
"SIKA","SIKA AG","Materials","Equity","43’118’231.10","1.73","43’118’231.10","281’267.00","153.30","Switzerland","SIX Swiss Exchange","CHF"
"SLHN","SWISS LIFE HOLDING AG","Financials","Equity","42’545’955.60","1.71","42’545’955.60","50’007.00","850.80","Switzerland","SIX Swiss Exchange","CHF"
"AMRZ","AMRIZE AG","Materials","Equity","39’049’150.43","1.57","39’049’150.43","927’313.00","42.11","United States","SIX Swiss Exchange","CHF"
"GIVN","GIVAUDAN SA","Materials","Equity","38’932’500.00","1.57","38’932’500.00","13’425.00","2’900.00","Switzerland","SIX Swiss Exchange","CHF"
"CHF","CHF CASH","Cash and/or Derivatives","Cash","35’748’463.67","1.44","35’748’463.67","35’748’464.00","100.00","Switzerland","-","CHF"
"PGHN","PARTNERS GROUP HOLDING AG","Financials","Equity","32’846’457.60","1.32","32’846’457.60","39’708.00","827.20","Switzerland","SIX Swiss Exchange","CHF"
"GEBN","GEBERIT AG","Industrials","Equity","30’522’656.80","1.23","30’522’656.80","59’452.00","513.40","Switzerland","SIX Swiss Exchange","CHF"
"SCMN","SWISSCOM AG","Communication","Equity","29’770’979.00","1.20","29’770’979.00","44’534.00","668.50","Switzerland","SIX Swiss Exchange","CHF"
"LOGN","LOGITECH INTERNATIONAL SA","Information Technology","Equity","24’059’427.60","0.97","24’059’427.60","253’524.00","94.90","Switzerland","SIX Swiss Exchange","CHF"
"KNIN","KUEHNE UND NAGEL INTERNATIONAL AG","Industrials","Equity","17’558’695.65","0.71","17’558’695.65","97’359.00","180.35","Switzerland","SIX Swiss Exchange","CHF"
"F-GSI","CASH COLLATERAL CHF F-GSI","Cash and/or Derivatives","Cash Collateral and Margins","2’077’000.00","0.08","2’077’000.00","2’077’000.00","100.00","Switzerland","-","CHF"
"USD","USD CASH","Cash and/or Derivatives","Cash","149’975.41","0.01","149’975.41","191’944.00","78.13","United States","-","USD"
"GBP","GBP CASH","Cash and/or Derivatives","Cash","61’437.18","0.00","61’437.18","58’333.00","105.32","United Kingdom","-","GBP"
"SMM6","SWISS MKT IX JUN 26","Cash and/or Derivatives","Futures","0.00","0.00","36’896’800.00","272.00","13’565.00","Switzerland","Eurex Deutschland","CHF"
 
