year,immigration,emigration,net_migration
2004,100834,52950,47884
2005,99091,54435,44656
2006,107177,57739,49438
2007,143855,60688,83167
2008,161629,58266,103363
2009,138269,59236,79033
2010,139495,70528,68967
2011,140508,66738,73770
2012,151002,73855,77147
2013,167248,77707,89541
2014,161149,82607,78542
2015,162563,86528,76035
2016,167407,90088,77319
2017,147142,93157,53985
2018,146183,98431,47752
2019,145608,94859,50749
2020,137685,83602,54083
2021,143506,88053,55453
2022,169055,90861,78194
2023,241040,93289,147751
2024,190043,99680,90363
