state,date,value
AL,2019-10-01,334.38
AL,2020-01-01,338.37
AL,2020-04-01,343.24
AL,2020-07-01,349.88
AL,2020-10-01,357.23
AL,2021-01-01,364.67
AL,2021-04-01,381.59
AL,2021-07-01,403.25
AL,2021-10-01,419.53
AL,2022-01-01,431.74
AL,2022-04-01,455.67
AL,2022-07-01,468.63
AL,2022-10-01,468.11
AL,2023-01-01,473.89
AL,2023-04-01,482.25
AL,2023-07-01,491.36
AL,2023-10-01,489.82
AL,2024-01-01,497.61
AL,2024-04-01,508.77
AL,2024-07-01,515.29
AL,2024-10-01,520.84
AL,2025-01-01,520.26
AL,2025-04-01,531.19
AL,2025-07-01,530.97
AL,2025-10-01,539.17
AK,2019-10-01,330.08
AK,2020-01-01,333.4
AK,2020-04-01,336.7
AK,2020-07-01,341.27
AK,2020-10-01,344.17
AK,2021-01-01,347.65
AK,2021-04-01,361.17
AK,2021-07-01,377.2
AK,2021-10-01,381.8
AK,2022-01-01,391.6
AK,2022-04-01,415.23
AK,2022-07-01,418.49
AK,2022-10-01,414.53
AK,2023-01-01,425.08
AK,2023-04-01,434.59
AK,2023-07-01,451.9
AK,2023-10-01,435.15
AK,2024-01-01,445.32
AK,2024-04-01,458.53
AK,2024-07-01,463.51
AK,2024-10-01,459.6
AK,2025-01-01,460.33
AK,2025-04-01,483.05
AK,2025-07-01,476.41
AK,2025-10-01,486.73
AZ,2019-10-01,432.35
AZ,2020-01-01,440.99
AZ,2020-04-01,448.73
AZ,2020-07-01,459.67
AZ,2020-10-01,475.92
AZ,2021-01-01,497.14
AZ,2021-04-01,536.76
AZ,2021-07-01,581.25
AZ,2021-10-01,610.76
AZ,2022-01-01,639.89
AZ,2022-04-01,687.78
AZ,2022-07-01,696.62
AZ,2022-10-01,670.79
AZ,2023-01-01,665.9
AZ,2023-04-01,676.59
AZ,2023-07-01,690.19
AZ,2023-10-01,696.36
AZ,2024-01-01,700.68
AZ,2024-04-01,713.24
AZ,2024-07-01,718.34
AZ,2024-10-01,719.28
AZ,2025-01-01,719.69
AZ,2025-04-01,727.7
AZ,2025-07-01,727.66
AZ,2025-10-01,731.53
AR,2019-10-01,292.28
AR,2020-01-01,294.08
AR,2020-04-01,296.78
AR,2020-07-01,301.22
AR,2020-10-01,308.57
AR,2021-01-01,314.2
AR,2021-04-01,329.8
AR,2021-07-01,348.66
AR,2021-10-01,363.55
AR,2022-01-01,373.67
AR,2022-04-01,396.75
AR,2022-07-01,409.61
AR,2022-10-01,409.31
AR,2023-01-01,415.19
AR,2023-04-01,426.52
AR,2023-07-01,432.63
AR,2023-10-01,435.73
AR,2024-01-01,437.31
AR,2024-04-01,447.57
AR,2024-07-01,456.84
AR,2024-10-01,457.9
AR,2025-01-01,462.85
AR,2025-04-01,466.85
AR,2025-07-01,472.32
AR,2025-10-01,476.18
CA,2019-10-01,662.96
CA,2020-01-01,669.23
CA,2020-04-01,676.9
CA,2020-07-01,684.83
CA,2020-10-01,698.99
CA,2021-01-01,718.58
CA,2021-04-01,761.23
CA,2021-07-01,800.89
CA,2021-10-01,833.31
CA,2022-01-01,867.02
CA,2022-04-01,919.84
CA,2022-07-01,913.68
CA,2022-10-01,888.19
CA,2023-01-01,885.58
CA,2023-04-01,907.07
CA,2023-07-01,917.78
CA,2023-10-01,918.72
CA,2024-01-01,934
CA,2024-04-01,948.44
CA,2024-07-01,957.91
CA,2024-10-01,960.9
CA,2025-01-01,962.29
CA,2025-04-01,970.7
CA,2025-07-01,968.85
CA,2025-10-01,972.44
CO,2019-10-01,584.8
CO,2020-01-01,591.13
CO,2020-04-01,598.1
CO,2020-07-01,607.52
CO,2020-10-01,620
CO,2021-01-01,636.69
CO,2021-04-01,682.42
CO,2021-07-01,722.89
CO,2021-10-01,743.31
CO,2022-01-01,774.11
CO,2022-04-01,831.58
CO,2022-07-01,822.84
CO,2022-10-01,803.61
CO,2023-01-01,805.69
CO,2023-04-01,826.64
CO,2023-07-01,827.35
CO,2023-10-01,818.59
CO,2024-01-01,832.06
CO,2024-04-01,845.06
CO,2024-07-01,847.69
