state,start_date,end_date,start_value,end_value,pct_change
AK,2020-01-01,2025-10-01,333.4,486.73,45.989802039592085
AL,2020-01-01,2025-10-01,338.37,539.17,59.343322398557774
AR,2020-01-01,2025-10-01,294.08,476.18,61.921926006528835
AZ,2020-01-01,2025-10-01,440.99,731.53,65.88358012653347
CA,2020-01-01,2025-10-01,669.23,972.44,45.30729345665916
CO,2020-01-01,2025-10-01,591.13,859.33,45.3707306345474
CT,2020-01-01,2025-10-01,412.2,708.82,71.96021348859777
DC,2020-01-01,2025-10-01,912.84,1073.96,17.6504097103545
DE,2020-01-01,2025-10-01,481.05,770.04,60.07483629560335
FL,2020-01-01,2025-10-01,486.24,823.56,69.3731490621915
GA,2020-01-01,2025-10-01,391.82,659.78,68.38854576080853
HI,2020-01-01,2025-10-01,639.01,930.78,45.659692336583156
IA,2020-01-01,2025-10-01,312.76,460.03,47.08722343010614
ID,2020-01-01,2025-10-01,515.83,873.87,69.41046468797857
IL,2020-01-01,2025-10-01,354.21,545.83,54.09785155698599
IN,2020-01-01,2025-10-01,321.28,525.79,63.65475597609562
KS,2020-01-01,2025-10-01,301.17,474.76,57.63854301557259
KY,2020-01-01,2025-10-01,360.9,574.69,59.238016070933796
LA,2020-01-01,2025-10-01,294.56,379.46,28.822650733297106
MA,2020-01-01,2025-10-01,828.59,1303.96,57.37095547858411
MD,2020-01-01,2025-10-01,490.87,715.91,45.845132112371914
ME,2020-01-01,2025-10-01,566.71,1031.02,81.93079352755377
MI,2020-01-01,2025-10-01,353.62,570.97,61.464283694361185
MN,2020-01-01,2025-10-01,416.98,599.8,43.843829440260905
MO,2020-01-01,2025-10-01,350.67,559.57,59.57167707531299
MS,2020-01-01,2025-10-01,283.56,425.13,49.92594159966144
MT,2020-01-01,2025-10-01,469.38,806.49,71.82027355234565
NC,2020-01-01,2025-10-01,408.75,701.92,71.72354740061162
ND,2020-01-01,2025-10-01,377.71,522.47,38.325699610812535
NE,2020-01-01,2025-10-01,348.07,541.9,55.68707443904961
NH,2020-01-01,2025-10-01,505.72,892.33,76.44744127185004
NJ,2020-01-01,2025-10-01,542.98,939.31,72.99163873439167
NM,2020-01-01,2025-10-01,349.45,553.22,58.311632565460016
NV,2020-01-01,2025-10-01,414.64,638.5,53.98900250819989
NY,2020-01-01,2025-10-01,712,1150.44,61.57865168539327
OH,2020-01-01,2025-10-01,311.34,509.81,63.747028971542385
OK,2020-01-01,2025-10-01,257.93,397.06,53.94099174194549
OR,2020-01-01,2025-10-01,592.96,846.32,42.72800863464652
PA,2020-01-01,2025-10-01,453.65,713.64,57.31070208310371
RI,2020-01-01,2025-10-01,589.82,1034.01,75.30941643213183
SC,2020-01-01,2025-10-01,413.97,710.79,71.70084788752806
SD,2020-01-01,2025-10-01,403.58,637.83,58.04301501561031
TN,2020-01-01,2025-10-01,407.3,700.01,71.86594647679843
TX,2020-01-01,2025-10-01,348.94,527.87,51.27815670315814
UT,2020-01-01,2025-10-01,522.53,854.23,63.47960882628749
VA,2020-01-01,2025-10-01,484.7,764.26,57.676913554776156
VT,2020-01-01,2025-10-01,506.12,889.76,75.80020548486523
WA,2020-01-01,2025-10-01,674.5,1029.58,52.64343958487767
WI,2020-01-01,2025-10-01,375.11,621.27,65.6234171309749
WV,2020-01-01,2025-10-01,237.48,359.57,51.41064510695639
WY,2020-01-01,2025-10-01,338.03,511.39,51.28538887081029
