iso_a3,entity,median_age
AFG,Afghanistan,16.94
ALB,Albania,36.277
DZA,Algeria,28.189
ASM,American Samoa,28.435
AND,Andorra,43.162
AGO,Angola,16.452
AIA,Anguilla,38.013
ATG,Antigua and Barbuda,35.486
ARG,Argentina,32.122
ARM,Armenia,35.832
ABW,Aruba,41.02
AUS,Australia,37.751
AUT,Austria,43.086
AZE,Azerbaijan,32.596
BHS,Bahamas,34.597
BHR,Bahrain,32.876
BGD,Bangladesh,25.325
BRB,Barbados,38.905
BLR,Belarus,40.535
BEL,Belgium,41.44
BLZ,Belize,25.946
BEN,Benin,17.772
BMU,Bermuda,45.14
BTN,Bhutan,29.388
BOL,Bolivia,24.664
BES,Bonaire Sint Eustatius and Saba,39.665
BIH,Bosnia and Herzegovina,44.915
BWA,Botswana,22.882
BRA,Brazil,33.942
VGB,British Virgin Islands,37.546
BRN,Brunei,31.76
BGR,Bulgaria,44.314
BFA,Burkina Faso,17.254
BDI,Burundi,15.902
KHM,Cambodia,25.844
CMR,Cameroon,17.752
CAN,Canada,40.343
CPV,Cape Verde,27.87
CYM,Cayman Islands,37.875
CAF,Central African Republic,14.32
TCD,Chad,15.401
CHL,Chile,35.969
CHN,China,39.066
COL,Colombia,31.606
COM,Comoros,20.331
COG,Congo,18.308
COK,Cook Islands,35.075
CRI,Costa Rica,34.07
CIV,Cote d'Ivoire,18.097
HRV,Croatia,44.761
CUB,Cuba,41.709
CUW,Curacao,38.231
CYP,Cyprus,37.756
CZE,Czechia,42.716
COD,Democratic Republic of Congo,15.768
DNK,Denmark,41.249
DJI,Djibouti,24.389
DMA,Dominica,35.618
DOM,Dominican Republic,27.653
TLS,East Timor,20.969
ECU,Ecuador,28.406
EGY,Egypt,24.028
SLV,El Salvador,26.956
GNQ,Equatorial Guinea,20.979
ERI,Eritrea,18.651
EST,Estonia,41.89
SWZ,Eswatini,21.995
ETH,Ethiopia,18.733
FLK,Falkland Islands,41.535
FRO,Faroe Islands,37.258
